id,label,predict
363,0,1
28,0,1
462,0,1
2627,0,1
18,0,1
1629,0,0
1182,0,1
2329,0,1
546,0,1
1572,0,0
2210,0,0
1638,0,0
561,0,1
1280,0,1
1207,0,0
2773,0,1
883,0,1
1173,0,0
759,0,1
1193,0,0
1178,0,1
2328,0,1
568,0,1
1942,0,1
707,0,1
1490,0,1
2250,0,0
2178,0,0
37,0,1
1453,0,1
2270,0,0
1636,0,1
2426,0,1
1152,0,1
702,0,1
1285,0,1
810,0,1
2458,0,0
1539,0,1
1272,0,1
315,0,1
302,0,1
1517,0,0
2353,0,0
1502,0,1
2856,0,1
343,0,1
739,0,1
541,0,1
1768,0,1
2747,0,0
723,0,1
1895,0,0
2194,0,1
2536,0,1
1149,0,0
2812,0,1
74,0,1
382,0,1
1748,0,1
1951,0,0
2408,0,0
136,0,1
558,0,1
718,0,0
633,0,1
426,0,1
2380,0,1
316,0,0
419,0,1
1265,0,0
2237,0,0
2552,0,1
1750,0,1
1264,0,1
2199,0,0
504,0,1
1740,0,1
1509,0,1
2079,0,1
1462,0,1
653,0,1
1630,0,1
877,0,1
2650,0,1
1273,0,1
2407,0,1
2756,0,1
2347,0,1
2150,0,1
2145,0,1
2476,0,1
2857,0,1
2435,0,1
227,0,0
1612,0,0
2496,0,1
1967,0,1
2654,0,1
2826,0,1
1744,0,1
158,0,1
777,0,1
1248,0,1
2131,0,1
441,0,1
2817,0,1
895,0,1
43,0,0
2749,0,1
2543,0,0
1785,0,0
2184,0,0
2698,0,1
1166,0,0
606,0,1
1658,0,0
2436,0,1
2004,0,0
2048,0,0
553,0,1
2006,0,1
1893,0,0
372,0,1
1516,0,1
862,0,1
2538,0,0
1726,0,1
1162,0,0
2300,0,1
2531,0,0
2863,0,1
849,0,1
428,0,1
2600,0,0
2208,0,0
133,0,1
662,0,1
1493,0,1
560,0,1
137,0,0
1274,0,1
1195,0,0
1547,0,1
808,0,1
2495,0,1
650,0,1
696,0,0
2809,0,1
681,0,1
2741,1,0
1804,1,1
356,1,1
2845,1,1
1710,1,1
910,1,0
2847,1,0
1687,1,1
2664,1,1
2527,1,0
2791,1,1
2154,1,1
92,1,0
1056,1,0
442,1,1
1610,1,0
2002,1,0
2295,1,1
2710,1,0
1912,1,1
1733,1,1
1491,1,1
1420,1,1
2040,1,1
1360,1,1
1828,1,1
1356,1,1
1402,1,1
466,1,1
1116,1,0
2343,1,1
2215,1,0
20,1,0
2387,1,1
2090,1,1
1866,1,1
1604,1,1
85,1,1
1386,1,0
1566,1,1
2661,1,0
2686,1,1
671,1,0
1780,1,1
1362,1,1
2442,1,1
1923,1,1
1845,1,1
2117,1,1
550,1,0
1717,1,1
313,1,0
2743,1,0
2606,1,1
947,1,1
2739,1,1
1549,1,1
210,1,0
1400,1,0
1109,1,1
2294,1,0
784,1,1
1006,1,1
2366,1,0
856,1,0
1365,1,1
1689,1,1
1551,1,1
510,1,1
2001,1,1
2309,1,1
2670,1,0
1931,1,1
2212,1,0
2599,1,1
2494,1,1
1523,1,1
1061,1,1
646,1,1
1014,1,1
997,1,1
989,1,1
2677,1,1
1955,1,0
2456,1,1
1428,1,1
107,1,0
253,1,0
2798,1,1
857,1,1
1383,1,1
2089,1,1
983,1,1
1540,1,1
1094,1,1
2657,1,1
2593,1,1
1884,1,1
2385,1,0
2475,1,1
96,1,1
1888,1,1
1794,1,0
7,1,1
1527,1,1
2030,1,1
1303,1,1
911,1,0
2493,1,1
361,1,1
1337,1,1
2282,1,0
2061,1,1
2668,1,1
1405,1,0
932,1,0
2008,1,1
2041,1,1
1131,1,0
1353,1,1
1994,1,1
2377,1,1
351,1,1
1067,1,0
2122,1,0
1896,1,0
2401,1,1
747,1,1
912,1,1
1536,1,1
1871,1,1
2095,1,1
1388,1,0
201,1,1
2388,1,1
941,1,1
2228,1,1
2833,1,1
1045,1,1
1447,1,1
204,1,0
2252,1,1
1083,1,1
1966,1,0
83,1,1
1598,1,1
1095,1,0
2787,1,1
1113,1,1
337,1,0
